Active MLB Non-Pitcher,Career fWAR,Overall Draft Pick,MLB Experience (years)
Albert Pujols,87.7,402,19.000
Mike Trout,73.4,25,8.070
Miguel Cabrera,70.6,intl,16.101
Robinson Cano,57.3,intl,14.076
Joey Votto,56.2,44,12.027
Yadier Molina,54,113,15.123
Buster Posey,52.7,5,9.161
Evan Longoria,51.1,3,11.170
Andrew McCutchen,49.9,11,10.123
Dustin Pedroia,46.6,65,13.041
Ryan Braun,43.7,5,12.129
Josh Donaldson,41.4,48,7.158
Giancarlo Stanton,39.3,76,9.118
Paul Goldschmidt,39.2,246,8.059
Ryan Zimmerman,38.2,4,14.032
Nelson Cruz,37.5,intl,12.082
Mookie Betts,37.2,172,5.070
Brett Gardner,37,109,11.072
Justin Upton,36.8,1,12.060
Shin-Soo Choo,35.4,intl,12.119
Bryce Harper,35.1,1,7.159
Jose Altuve,35,intl,8.072
Freddie Freeman,34.6,78,9.033
Edwin Encarnacion,34,274,14.085
Christian Yelich,33.6,23,6.069
Manny Machado,33.2,3,7.056
Anthony Rendon,32.7,6,6.130
Yasmani Grandal,32.6,12,7.115
Alex Gordon,32.1,2,12.092
Hunter Pence,31.7,64,12.156
Nolan Arenado,31.3,59,6.155
Howie Kendrick,31.3,294,13.091
Jason Heyward,31.1,14,10.000
Kyle Seager,30.7,82,8.085
Matt Carpenter,29.9,399,8.012
Nick Markakis,29.2,7,14.000
Anthony Rizzo,29.2,204,7.168
Lorenzo Cain,28.8,496,8.074
Elvis Andrus,28.4,intl,11.000
Kris Bryant,27.8,2,4.171
Asdrubal Cabrera,27.5,intl,12.027
Francisco Lindor,27.2,8,4.113
Justin Turner,26,204,9.045
Andrelton Simmons,24.9,70,7.125
George Springer,24.6,11,5.166
Xander Bogaerts,24.6,intl,6.042
Jose Ramirez,24.3,intl,5.074
Daniel Murphy,24.2,394,10.109
Todd Frazier,24.2,34,8.071
J.D. Martinez,24.1,611,8.036
Starling Marte,24.1,intl,6.162
Michael Brantley,23.8,205,9.131
Yoenis Cespedes,21.5,intl,8.000
Brandon Crawford,21.2,117,8.094
Charlie Blackmon,21,72,7.102
Dexter Fowler,21,410,10.168
Carlos Santana,20.9,intl,9.115
Alex Bregman,20.5,2,3.070
Jay Bruce,20.3,12,11.125
Marcell Ozuna,20.3,intl,6.124
Tyler Flowers,20.1,1007,8.148
Jed Lowrie,20.1,45,11.111
Brandon Belt,20.1,147,8.128
Josh Reddick,19.5,523,9.050
Adam Eaton,19.3,571,7.030
Carlos Correa,18.5,1,4.119
Starlin Castro,18.2,intl,9.150
Corey Seager,18.2,18,4.032
A.J. Pollock,18.1,17,7.052
Jose Abreu,17.9,intl,6.000
Ian Desmond,17.9,84,10.027
Aaron Judge,17.8,32,3.051
Jean Segura,17.8,intl,7.065
Francisco Cervelli,17.8,intl,9.146
Didi Gregorius,17.5,intl,6.159
Kevin Kiermaier,17.5,941,5.131
Matt Wieters,17.4,5,10.129
Marcus Semien,17.4,201,5.118
J.T. Realmuto,17.2,104,5.038
Matt Joyce,17.1,360,10.123
DJ LeMahieu,16.5,79,7.128
Mike Moustakas,16.1,2,8.111
Kole Calhoun,15.6,264,6.130
Tommy Pham,15.5,496,4.107
Matt Chapman,15.5,25,2.109
Trevor Story,15.4,45,4.000
Cody Bellinger,15.4,124,2.160
Wilson Ramos,15.4,intl,9.047
Eugenio Suarez,15.4,intl,5.061
Cameron Maybin,14.9,10,10.059
Alex Avila,14.6,163,10.061
Jason Castro,14.5,10,9.104
Trea Turner,14.3,13,3.135
Ender Inciarte,14.3,10,5.157
Yan Gomes,14.2,310,7.083
Kolten Wong,14,22,6.045
Michael Conforto,14,10,4.043
Javier Baez,13.9,9,4.089
Mike Zunino,13.9,3,5.165
Jarrod Dyson,13.9,1475,8.088
Jackie Bradley Jr.,13.5,40,5.150
Eduardo Escobar,13.3,intl,7.128
Joc Pederson,13.1,352,5.028
David Peralta,12.7,intl,5.120
Chris Davis,12.7,148,10.061
Dee Gordon,12.6,127,7.154
Martin Maldonado,12.6,803,7.156
Whit Merrifield,12.3,269,3.101
Kevin Pillar,11.8,979,5.113
Ketel Marte,11.8,intl,3.162
Aaron Hicks,11.8,14,6.041
Cesar Hernandez,11.6,intl,5.154
Jose Iglesias,11.5,intl,7.036
Corey Dickerson,11.5,260,6.101
Gary Sanchez,11.4,intl,3.086
Khris Davis,10.7,226,6.104
Paul DeJong,10.5,131,2.127
Eddie Rosario,10.5,135,4.120
Nicholas Castellanos,10.4,44,6.029
Travis d'Arnaud,10.3,37,6.044
Ozzie Albies,10.3,intl,2.062
Chris Taylor,10,161,4.037
Kurt Suzuki,10,67,12.113
Salvador Perez,10,intl,8.050
Eric Hosmer,9.9,3,8.146
Max Kepler,9.8,intl,3.152
Wil Myers,9.5,91,6.104
Randal Grichuk,9.5,24,5.033
Jonathan Schoop,9.4,intl,6.027
Matt Olson,9.4,47,2.103
Max Muncy,9.4,169,3.027
Ronald Acuna Jr.,9.3,intl,1.159
Joe Panik,9.3,29,5.100
Marwin Gonzalez,9.1,10,7.133
Travis Shaw,9.1,292,4.053
Kyle Schwarber,9.1,4,4.086
Andrew Benintendi,9,7,3.062
Christian Vazquez,9,292,5.031
Yoan Moncada,8.9,intl,2.106
Jedd Gyorko,8.7,59,6.164
Joey Gallo,8.7,39,3.103
Roberto Perez,8.6,1011,5.083
Freddy Galvis,8.5,intl,7.021
Juan Soto,8.5,intl,1.134
Miguel Sano,8.5,intl,4.066
Jonathan Villar,8.4,intl,5.113
Enrique Hernandez,8.4,191,5.054
Mitch Haniger,8.4,38,3.048
Brad Miller,8.3,62,6.004
Willson Contreras,8.3,intl,3.108
Gregory Polanco,7.9,intl,5.103
Tim Anderson,7.8,17,3.115
Rafael Devers,7.7,,2.070
Byron Buxton,7.4,2,3.160
Stephen Piscotty,7.3,36,4.076
Rougned Odor,7.3,intl,5.121
Jeff McNeil,7.3,356,1.069
Jorge Polanco,7.2,,3.024
Rhys Hoskins,7.1,142,2.053
Brandon Nimmo,7.1,13,3.042
Jake Lamb,6.7,213,5.053
Brian Anderson,6.5,76,2.031
Mitch Moreland,6.3,530,9.067
Mark Canha,6.2,227,4.092
Justin Smoak,6.2,11,9.077
Wilmer Flores,6.2,intl,6.003
Yuli Gurriel,6.2,intl,3.043
Avisail Garcia,6.2,intl,6.167
Jake Marisnick,6.1,104,5.132
Robinson Chirinos,6.1,intl,7.103
Brock Holt,6,265,6.052
Ramon Laureano,6,466,1.059
Adam Frazier,5.7,179,3.075
Austin Hedges,5.7,82,3.166
Aledmys Diaz,5.7,intl,3.100
Gleyber Torres,5.6,intl,1.162
Steven Souza Jr.,5.6,100,5.072
Harrison Bader,5.5,100,2.030
Austin Barnes,5.4,283,3.098
Jorge Soler,5.4,intl,4.143
David Fletcher,5.3,195,1.111
Miguel Rojas,5.3,intl,5.043
Trey Mancini,5.2,249,3.015
Adam Duvall,5.1,348,3.151
Mallex Smith,4.9,165,3.125
Peter Alonso,4.8,64,1.000
Eric Thames,4.8,219,4.063
Ian Happ,4.8,9,2.036
Delino DeShields,4.8,8,4.109
Eric Sogard,4.7,81,7.134
Jose Martinez,4.6,intl,3.027
Adeiny Hechavarria,4.6,intl,7.037
Joey Wendle,4.6,203,2.088
Shohei Ohtani,4.6,intl,2.000
C.J. Cron,4.6,17,5.097
Amed Rosario,4.5,intl,2.062
Greg Garcia,4.5,229,4.083
Jorge Alfaro,4.4,intl,2.083
Omar Narvaez,4.4,intl,3.089
Adalberto Mondesi,4.4,intl,2.088
Manuel Margot,4.3,intl,3.012
Domingo Santana,4.3,intl,4.024
Nick Ahmed,4.3,85,5.054
Austin Meadows,4.2,9,1.074
Hunter Renfroe,4.2,13,2.165
Willy Adames,4.2,intl,1.105
Manny Pina,4.2,intl,4.046
Stephen Vogt,4.2,365,6.064
Michael A. Taylor,4.1,172,4.129
Mitch Garver,4.1,260,2.045
Tommy La Stella,4,266,5.057
Luke Voit,4,665,1.169
Jurickson Profar,4,intl,5.165
Dansby Swanson,3.9,1,3.047
Johan Camargo,3.9,intl,2.137
Josh Bell,3.8,61,3.053
David Dahl,3.7,10,2.162
Jeff Mathis,3.6,33,13.012
Tyler Naquin,3.6,15,3.033
Robbie Grossman,3.6,174,5.060
Danny Santana,3.5,intl,4.140
Maikel Franco,3.5,intl,4.157
Curt Casali,3.4,317,3.151
Ben Gamel,3.3,325,3.029
Jesus Aguilar,3.3,intl,3.082
Bryan Reynolds,3.2,59,0.163
Victor Robles,3,intl,1.052
Jeimer Candelario,3,intl,2.038
Brian Goodwin,2.9,34,3.019
Donovan Solano,2.8,intl,4.081
Ji-Man Choi,2.8,intl,2.076
Niko Goodrum,2.7,71,2.031
Chad Pinder,2.7,71,3.047
Scott Kingery,2.6,48,2.000
Scott Schebler,2.6,802,2.170
Ehire Adrianza,2.5,intl,5.131
David Bote,2.5,554,1.100
Tucker Barnhart,2.4,299,5.075
Giovanny Urshela,2.4,intl,2.127
Tony Wolters,2.4,87,3.161
Jesse Winker,2.3,49,2.080
Jose Peraza,2.3,intl,3.141
Jake Cave,2.3,209,1.072
Lourdes Gurriel Jr.,2.2,intl,1.094
Daniel Robertson,2.2,34,2.134
James McCann,2.2,76,5.028
Yandy Diaz,2.2,intl,1.122
Franmil Reyes,2.1,intl,1.115
Christian Walker,2.1,132,1.124
Hunter Dozier,2.1,8,2.060
Albert Almora Jr.,2.1,6,3.073
Teoscar Hernandez,2.1,intl,2.097
J.P. Crawford,2.1,16,1.163
Sandy Leon,2.1,intl,5.144
Miguel Andujar,2,intl,2.020
Travis Jankowski,1.9,44,3.148
Kevin Plawecki,1.9,35,3.167
J.D. Davis,1.9,75,1.137
Eloy Jimenez,1.9,intl,1.000
Nomar Mazara,1.7,intl,4.000
Kevin Newman,1.6,19,1.046
Garrett Cooper,1.5,182,2.053
Renato Nunez,1.4,intl,1.167
Wilmer Difo,1.4,intl,3.016
Daniel Descalso,1.4,112,9.016
Hanser Alberto,1.3,intl,3.085
Luke Maile,1.2,272,3.099
Austin Slater,1.1,238,1.147
Daniel Vogelbach,1.1,68,1.138
Victor Caratini,1.1,65,2.051
Phillip Ervin,0.9,27,1.115
Ryon Healy,0.8,100,3.080
Austin Romine,0.8,94,6.045
Leury Garcia,0.7,intl,5.025
Colin Moran,0.7,6,2.107
Victor Reyes,0.6,intl,1.084
Ryan McMahon,0.6,42,2.006
Tony Kemp,0.5,137,2.098
Vladimir Guerrero Jr.,0.4,intl,0.157
Guillermo Heredia,0.4,intl,3.054
Anthony Santander,0.4,intl,1.162
JaCoby Jones,0.3,87,2.125
Adam Engel,0.3,573,2.058
Jake Bauers,0.3,208,1.100
Rio Ruiz,0.3,129,1.109
Pedro Severino,0.3,intl,2.099
Orlando Arcia,0.2,intl,3.047
Ronald Guzman,0.1,intl,1.147
Andrew Knapp,0.1,53,3.000
Brandon Drury,0.1,404,3.165
J.T. Riddle,0,382,2.118
Nick Williams,0,93,2.036
Greg Allen,-0.1,188,1.099
Ryan O'Hearn,-0.2,243,1.034
Dominic Smith,-0.2,11,1.146
Jose Osuna,-0.8,intl,2.069
Ronny Rodriguez,-0.8,intl,1.079
Isiah Kiner-Falefa,-1,130,2.000
Raimel Tapia,-1.1,intl,2.020
Lewis Brinson,-2.9,29,1.115